Nothing change,Public utility vehicle,Yes,Good,Disagree
Company gives extra bonus,Public utility vehicle,Yes,Good,Neutral
Nothing change,Company shuttle,Maybe,Very Good,Neutral
Salary decreased,Public utility vehicle,Yes,Fair,Strongly Disagree
Nothing change,"Personal vehicle (car, bike, motorcycle)",Yes,Good,Disagree
Salary decreased,Public utility vehicle,Yes,Poor,Strongly Disagree
Nothing change,Walking,Yes,Fair,Disagree
Nothing change,Public utility vehicle,Yes,Poor,Strongly Disagree
Salary increased,Public utility vehicle,Yes,Very Good,Agree
Nothing change,Public utility vehicle,Yes,Fair,Strongly Disagree
Salary decreased,Public utility vehicle,Yes,Poor,Strongly Disagree
Nothing change,Public utility vehicle,Yes,Fair,Strongly Disagree
Salary increased,No transportation (work from home setup),Yes,Very Good,Agree
Salary increased,"Personal vehicle (car, bike, motorcycle)",Yes,Very Good,Agree
Salary decreased,Public utility vehicle,Yes,Fair,Disagree
Salary decreased,Public utility vehicle,Yes,Fair,Disagree
Salary increased,Public utility vehicle,Yes,Poor,Strongly Disagree
Salary increased,Public utility vehicle,Yes,Poor,Strongly Disagree
Salary increased,Public utility vehicle,No,Good,Neutral
Salary increased,"Personal vehicle (car, bike, motorcycle)",Yes,Good,Agree
Salary increased,Public utility vehicle,Yes,Good,Disagree
Nothing change,Public utility vehicle,Yes,Good,Neutral
Nothing change,"Personal vehicle (car, bike, motorcycle)",Yes,Good,Agree
Salary increased,No transportation (work from home setup),Maybe,Very Good,Strongly Agree
Salary decreased,Public utility vehicle,Yes,Poor,Disagree
Company gives extra bonus,Public utility vehicle,Yes,Good,Agree
Salary increased,Public utility vehicle,Yes,Good,Disagree
Salary increased,Company shuttle,Yes,Good,Strongly Disagree
Salary increased,Public utility vehicle,Yes,Good,Neutral
Salary decreased,Walking,Yes,Good,Disagree
Salary increased,"Personal vehicle (car, bike, motorcycle)",Yes,Good,Neutral
Nothing change,Public utility vehicle,Yes,Good,Neutral
Nothing change,Public utility vehicle,Yes,Good,Neutral
Salary decreased,Walking,Yes,Very Good,Agree
Company gives extra bonus,"Personal vehicle (car, bike, motorcycle)",Yes,Good,Agree
Nothing change,Public utility vehicle,Yes,Very Good,Agree
Nothing change,"Personal vehicle (car, bike, motorcycle)",Yes,Excellent,Strongly Agree
Company gives extra bonus,"Personal vehicle (car, bike, motorcycle)",Yes,Excellent,Agree
Salary increased,No transportation (work from home setup),Yes,Good,Strongly Agree
Salary increased,Public utility vehicle,Yes,Fair,Disagree
Salary decreased,Public utility vehicle,Yes,Poor,Strongly Disagree
Salary increased,Public utility vehicle,Yes,Very Good,Agree
Salary increased,"Personal vehicle (car, bike, motorcycle)",Yes,Excellent,Strongly Agree
Salary increased,Public utility vehicle,Yes,Excellent,Strongly Agree
Nothing change,"Personal vehicle (car, bike, motorcycle)",Yes,Good,Neutral
Company gives extra bonus,Public utility vehicle,Yes,Poor,Neutral
Salary decreased,Public utility vehicle,Yes,Fair,Disagree
Nothing change,Public utility vehicle,Yes,Very Good,Strongly Agree
Nothing change,Public utility vehicle,Yes,Excellent,Strongly Agree
Salary decreased,Public utility vehicle,Yes,Fair,Disagree
Salary increased,Public utility vehicle,Yes,Excellent,Strongly Agree
Salary decreased,Public utility vehicle,Yes,Very Good,Agree
Company gives extra bonus,Public utility vehicle,Yes,Excellent,Agree
Nothing change,Public utility vehicle,Yes,Fair,Disagree
Salary increased,"Personal vehicle (car, bike, motorcycle)",Yes,Fair,Disagree
Salary increased,Public utility vehicle,Yes,Fair,Strongly Disagree
Salary increased,Public utility vehicle,Yes,Good,Neutral
Nothing change,Public utility vehicle,Yes,Fair,Disagree
Salary decreased,Public utility vehicle,Yes,Fair,Disagree
Salary decreased,Public utility vehicle,Yes,Fair,Disagree
